model	file	W2_statistic	p_value
GTR20+C60fix+R3-PMSF	seq_7.fa_gap.sitewise_entropy.txt	5.659482e-01	2.718916e-02
GTR20+C60fix+R3-PMSF	seq_70.fa_gap.sitewise_entropy.txt	2.460478e-01	1.935793e-01
GTR20+C60fix+R3-PMSF	seq_71.fa_gap.sitewise_entropy.txt	6.169282e-01	2.032691e-02
GTR20+C60fix+R3-PMSF	seq_72.fa_gap.sitewise_entropy.txt	2.693432e-02	9.853465e-01
GTR20+C60fix+R3-PMSF	seq_73.fa_gap.sitewise_entropy.txt	3.941347e-01	7.488395e-02
GTR20+C60fix+R3-PMSF	seq_74.fa_gap.sitewise_entropy.txt	5.881604e-01	2.394284e-02
GTR20+C60fix+R3-PMSF	seq_75.fa_gap.sitewise_entropy.txt	1.619667e-01	3.552612e-01
GTR20+C60fix+R3-PMSF	seq_76.fa_gap.sitewise_entropy.txt	2.497381e-01	1.887666e-01
GTR20+C60fix+R3-PMSF	seq_77.fa_gap.sitewise_entropy.txt	7.982827e-01	7.382897e-03
GTR20+C60fix+R3-PMSF	seq_78.fa_gap.sitewise_entropy.txt	1.202690e-01	4.946258e-01
GTR20+C60fix+R3-PMSF	seq_79.fa_gap.sitewise_entropy.txt	8.241895e-01	6.402257e-03
GTR20+C60fix+R3-PMSF	seq_8.fa_gap.sitewise_entropy.txt	8.360162e-02	6.717372e-01
GTR20+C60fix+R3-PMSF	seq_80.fa_gap.sitewise_entropy.txt	3.763956e-01	8.348483e-02
GTR20+C60fix+R3-PMSF	seq_81.fa_gap.sitewise_entropy.txt	4.577673e-01	5.107899e-02
GTR20+C60fix+R3-PMSF	seq_82.fa_gap.sitewise_entropy.txt	4.422251e-01	5.602829e-02
GTR20+C60fix+R3-PMSF	seq_83.fa_gap.sitewise_entropy.txt	2.391752e-01	2.029282e-01
GTR20+C60fix+R3-PMSF	seq_84.fa_gap.sitewise_entropy.txt	3.761349e-01	8.361900e-02
GTR20+C60fix+R3-PMSF	seq_85.fa_gap.sitewise_entropy.txt	1.689412e-01	3.368470e-01
GTR20+C60fix+R3-PMSF	seq_86.fa_gap.sitewise_entropy.txt	3.835724e-01	7.988226e-02
GTR20+C60fix+R3-PMSF	seq_87.fa_gap.sitewise_entropy.txt	4.274613e-02	9.189789e-01
GTR20+C60fix+R3-PMSF	seq_88.fa_gap.sitewise_entropy.txt	3.024630e-01	1.330632e-01
GTR20+C60fix+R3-PMSF	seq_89.fa_gap.sitewise_entropy.txt	1.105304e-01	5.360057e-01
GTR20+C60fix+R3-PMSF	seq_9.fa_gap.sitewise_entropy.txt	1.737789e-01	3.247495e-01
GTR20+C60fix+R3-PMSF	seq_90.fa_gap.sitewise_entropy.txt	2.546704e-01	1.825494e-01
GTR20+C60fix+R3-PMSF	seq_91.fa_gap.sitewise_entropy.txt	7.875617e-01	7.832466e-03
GTR20+C60fix+R3-PMSF	seq_92.fa_gap.sitewise_entropy.txt	3.458956e-01	1.009058e-01
GTR20+C60fix+R3-PMSF	seq_93.fa_gap.sitewise_entropy.txt	4.274434e-01	6.121287e-02
GTR20+C60fix+R3-PMSF	seq_94.fa_gap.sitewise_entropy.txt	1.779670e-01	3.146976e-01
GTR20+C60fix+R3-PMSF	seq_95.fa_gap.sitewise_entropy.txt	2.806047e-01	1.534982e-01
GTR20+C60fix+R3-PMSF	seq_96.fa_gap.sitewise_entropy.txt	3.411801e-01	1.039397e-01
GTR20+C60fix+R3-PMSF	seq_97.fa_gap.sitewise_entropy.txt	2.655943e-01	1.696036e-01
GTR20+C60fix+R3-PMSF	seq_98.fa_gap.sitewise_entropy.txt	1.909229e-01	2.858893e-01
GTR20+C60fix+R3-PMSF	seq_99.fa_gap.sitewise_entropy.txt	2.597422e-01	1.764021e-01
GTR20+C60opt+R3-PMSF	seq_1.fa_gap.sitewise_entropy.txt	2.614509e-02	9.872635e-01
GTR20+C60opt+R3-PMSF	seq_10.fa_gap.sitewise_entropy.txt	4.385971e-02	9.128003e-01
GTR20+C60opt+R3-PMSF	seq_100.fa_gap.sitewise_entropy.txt	3.289980e-01	1.122558e-01
GTR20+C60opt+R3-PMSF	seq_11.fa_gap.sitewise_entropy.txt	1.045971e-01	5.631550e-01
GTR20+C60opt+R3-PMSF	seq_12.fa_gap.sitewise_entropy.txt	1.698191e-01	3.346118e-01
GTR20+C60opt+R3-PMSF	seq_13.fa_gap.sitewise_entropy.txt	1.721578e-02	9.989459e-01
GTR20+C60opt+R3-PMSF	seq_14.fa_gap.sitewise_entropy.txt	2.041117e-01	2.597500e-01
GTR20+C60opt+R3-PMSF	seq_15.fa_gap.sitewise_entropy.txt	1.570096e-01	3.690916e-01
GTR20+C60opt+R3-PMSF	seq_16.fa_gap.sitewise_entropy.txt	2.962681e-02	9.776618e-01
GTR20+C60opt+R3-PMSF	seq_17.fa_gap.sitewise_entropy.txt	1.206480e-01	4.930918e-01
